"","X","address","bedroom","bathroom","carspace","soldprice","landareas","yearsold","CBD_Distance","latitute","longitude","distanceSchool","agency","schoolName","Suburb","position"
"21",21,"30 King Road Hornsby NSW 2077",2,1,1,1036000,980,2022,21.36,-33.6989149,151.1107757,0.94," Ray White ","Asquith Girls High School ","Hornsby","North"
"22",22,"31 The Rampart Hornsby NSW 2077",3,2,2,1400000,766,NA,21.39,-33.7092059,151.0867302,0.92," Raine & Horne Hornsby ","Hornsby South Public School ","Hornsby","North"
"23",23,"67 Galston Road Hornsby NSW 2077",4,1,1,1395000,1537,2022,23.45,-33.6841874,151.0954694,0.35," Keith Soames Real Estate ","Hornsby North Public School ","Hornsby","North"
"24",24,"37 Stephen Street Hornsby NSW 2077",4,2,2,1550000,834,2022,21.94,-33.7042637,151.0901817,0.57," Belle Property ","Asquith Girls High School ","Hornsby","North"
"25",25,"98 Clarke Road Hornsby NSW 2077",4,2,1,1540000,1118,2022,20.9,-33.6944113,151.1075751,0.37," Radar Properties ","Hornsby South Public School ","Hornsby","North"
"26",26,"46A Galston Road Hornsby NSW 2077",4,2,2,1610000,744,2022,23.23,-33.7118884,151.0917159,0.42," Sue Edwards Real Estate ","Hornsby North Public School ","Hornsby","North"
"27",27,"50 Valley Road Hornsby NSW 2077",4,3,4,2210000,843,2022,22.11,-33.6860065,151.0964644,NA," Belle Property ",NA,"Hornsby","North"
"28",28,"16a Ethel Street Hornsby NSW 2077",4,2,1,1865000,1017,2022,23.21,-33.7044799,151.0811027,0.53," Stone Real Estate ","Hornsby North Public School ","Hornsby","North"
"29",29,"37 Valley Road Hornsby NSW 2077",3,1,3,1157000,881,2022,22.17,-33.6866092,151.0954601,NA," McGrath ",NA,"Hornsby","North"
"30",30,"167 Pretoria Parade Hornsby NSW 2077",3,2,2,1300000,762,2022,22.01,-33.703603,151.0815684,NA," Stone Real Estate ",NA,"Hornsby","North"
"31",31,"26 King Road Hornsby NSW 2077",3,1,1,1020000,917,2022,21.39,-33.7046318,151.0829278,0.93," Stone Real Estate ","Asquith Girls High School ","Hornsby","North"
"32",32,"2F Clovelly Road Hornsby NSW 2077",5,3,2,1900000,534,2022,21.25,-33.6988361,151.1103532,0.7," Ray White ","Hornsby South Public School ","Hornsby","North"
"33",33,"12 Heather Place Hornsby NSW 2077",5,2,2,1704000,950,2022,26.25,-33.6549742,151.0999759,NA," LJ Hooker ",NA,"Hornsby","North"
"34",34,"23 Neil Street Hornsby NSW 2077",3,2,2,1735000,771,2022,20.64,-33.7141469,151.0926319,0.24," Saliba Estate Agents ","Hornsby South Public School ","Hornsby","North"
"35",35,"93 Clarke Road Hornsby NSW 2077",3,1,2,1550000,748,2022,20.81,-33.7124063,151.0925375,0.28," Radar Properties ","Hornsby South Public School ","Hornsby","North"
"36",36,"344A Peats Ferry Road Hornsby NSW 2077",3,2,2,1260000,551,2022,22.2,-33.6986542,151.1155306,NA," Di Jones Lindfield",NA,"Hornsby","North"
"37",37,"35 William Street Hornsby NSW 2077",4,3,3,1800000,747,2022,21.57,-33.6952331,151.0989883,0.7," Ray White ","Hornsby Girls High School ","Hornsby","North"
"38",38,"36 Denison Street Hornsby NSW 2077",4,2,2,1415000,957,2022,21.7,-33.6887225,151.09414,0.89," Stone Real Estate ","Asquith Girls High School ","Hornsby","North"
"39",39,"9 Lodge Street Hornsby NSW 2077",5,3,2,1725000,511,2022,22.74,-33.6971477,151.1044408,0.71," Stone Real Estate ","Hornsby North Public School ","Hornsby","North"
"40",40,"364 Peats Ferry Road Hornsby NSW 2077",3,2,3,1760000,968,2022,22.41,-33.7037,151.0942848,NA," Stone Real Estate ",NA,"Hornsby","North"
"41",41,"17 Nursery Street Hornsby NSW 2077",3,1,2,1272000,426,2022,21.21,-33.6972469,151.1064361,0.59," Stone Real Estate ","Hornsby Girls High School ","Hornsby","North"
"42",42,"10 Frederick Street Hornsby NSW 2077",3,1,1,1138000,370,2022,21.47,-33.7052444,151.0931873,0.76," Sue Edwards Real Estate ","Hornsby Girls High School ","Hornsby","North"
"43",43,"1/76 Galston Road Hornsby NSW 2077",3,1,2,1240000,586,2022,23.45,-33.6862631,151.0947394,0.22," McGrath ","Hornsby North Public School ","Hornsby","North"
"44",44,"67 Bridge Road Hornsby NSW 2077",3,2,2,1550000,669,2022,21.61,-33.6836938,151.0966943,0.95," PRDnationwide Roseville","Asquith Girls High School ","Hornsby","North"
"45",45,"3 Nursery Street Hornsby NSW 2077",4,2,1,1560000,824,2022,21.14,-33.6980514,151.1066572,0.51," Stone Real Estate ","Hornsby Girls High School ","Hornsby","North"
"46",46,"38 Frederick Street Hornsby NSW 2077",3,2,2,1520000,1037,2022,21.47,-33.7072697,151.096081,0.89," John Pye Real Estate ","Hornsby South Public School ","Hornsby","North"
"47",47,"42B Manor Road Hornsby NSW 2077",3,2,3,1307000,1037,2022,22.79,-33.706656,151.0903454,NA," Raine & Horne Hornsby ",NA,"Hornsby","North"
"48",48,"17 Rosamond Street Hornsby NSW 2077",3,1,1,1175000,420,2022,22.97,-33.6935783,151.0890021,0.79," Chadwick Real Estate ","Hornsby North Public School ","Hornsby","North"
"49",49,"7 King Road Hornsby NSW 2077",3,1,3,1500000,1277,2022,21.55,-33.689157,151.0951746,0.87," McGrath ","Asquith Girls High School ","Hornsby","North"
"50",50,"36 Dural Street Hornsby NSW 2077",4,2,2,1460000,855,2022,21.87,-33.6979217,151.108604,0.98," Ray White ","Hornsby Girls High School ","Hornsby","North"
"51",51,"27 Ancrum Street Waverton NSW 2060",3,2,1,3050000,333,2023,3.82,-33.8392626,151.1999348,0.32," Stone McMahons Point ","Sydney Church of England Grammar School ","Waverton","North"
"52",52,"2B Priory Road Waverton NSW 2060",4,2,1,3065000,236,2022,4.15,-33.8396032,151.2014428,0.46," Stone McMahons Point ","Sydney Church of England Grammar School ","Waverton","North"
"53",53,"8 Toongarah Road Waverton NSW 2060",4,2,2,4518000,495,2022,4.07,-33.8369099,151.1959439,0.44," Stone McMahons Point ","Sydney Church of England Grammar School ","Waverton","North"
"54",54,"46 Crows Nest Road Waverton NSW 2060",4,2,1,5305501,752,2022,4.51,-33.8392836,151.2011445,0.42," Raine & Horne ","St Mary's Catholic Primary School ","Waverton","North"
"55",55,"24 Ancrum Street Waverton NSW 2060",3,2,NA,2450000,190,2022,3.81,-33.8363766,151.1962261,0.34," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"56",56,"23/14-18 Ross Street Waverton NSW 2060",3,2,2,5424857,4216,2022,4.09,-33.8365513,151.2023245,NA," CENTURY 21 VICTORIA ROSE ",NA,"Waverton","North"
"57",57,"6 Toongarah Road Waverton NSW 2060",4,2,3,4590000,557,2022,4.06,-33.8373125,151.2014734,0.43," Marriott Lane Real Estate ","Sydney Church of England Grammar School ","Waverton","North"
"58",58,"55 Euroka Street Waverton NSW 2060",4,1,1,2850000,230,2022,3.88,-33.8390731,151.2011146,0.36," LJ Hooker ","Sydney Church of England Grammar School ","Waverton","North"
"59",59,"122 Bay Road Waverton NSW 2060",5,3,1,6220000,683,2022,4.01,-33.8387701,151.1959536,0.83," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"60",60,"99 Bay Road Waverton NSW 2060",4,2,NA,3500000,250,2022,4.05,-33.8369136,151.196686,0.88," Raine Horne Potts Point | Elizabeth Bay ","Sydney Church of England Grammar School ","Waverton","North"
"61",61,"40 Euroka Street Waverton NSW 2060",3,3,1,3500000,224,2021,3.89,-33.8384367,151.195555,0.41," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"62",62,"18 McHatton Street Waverton NSW 2060",4,2,3,5700000,797,2021,4.41,-33.838169,151.2044227,0.41," Blues Point Real Estate ","St Mary's Catholic Primary School ","Waverton","North"
"63",63,"29 Whatmore Street Waverton NSW 2060",3,2,NA,3410000,240,2021,4.18,-33.837461,151.1947083,0.95," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"64",64,"27 Tunks Street Waverton NSW 2060",2,2,2,5200000,455,2021,4.2,-33.8387578,151.1954374,0.83," Raine & Horne ","Sydney Church of England Grammar School ","Waverton","North"
"65",65,"46 Crows Nest Road Waverton NSW 2060",4,2,1,5035000,752,2021,4.51,-33.8368186,151.1967437,0.42," Raine & Horne ","St Mary's Catholic Primary School ","Waverton","North"
"66",66,"11 Balls Head Road Waverton NSW 2060",5,2,1,6600000,608,2021,3.61,-33.8332667,151.2026588,0.84," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"67",67,"48 Bay Road Waverton NSW 2060",5,3,1,4000000,301,2020,4.23,-33.8424608,151.196195,0.55," Belle Property Neutral Bay ","Sydney Church of England Grammar School ","Waverton","North"
"68",68,"8 Ross Street Waverton NSW 2060",6,5,2,6020000,354,2020,4.04,-33.8358078,151.2019023,0.91," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"69",69,"29 Balls Head Road Waverton NSW 2060",7,4,NA,4000000,642,2020,3.75,-33.8386534,151.1951178,0.78," Belle Property Neutral Bay ","Sydney Church of England Grammar School ","Waverton","North"
"70",70,"40 Euroka Street Waverton NSW 2060",3,3,1,3000000,224,2020,3.89,-33.8410771,151.1964503,0.41," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"71",71,"28 Clifton Street Waverton NSW 2060",4,2,NA,2800000,657,2019,3.95,-33.8390107,151.2006382,0.45," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"72",72,"26 Euroka Street Waverton NSW 2060",3,1,1,2000000,164,2019,3.86,-33.8385749,151.2002878,0.4," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"73",73,"1 Euroka Street Waverton NSW 2060",3,1,1,1920000,209,2019,3.73,-33.84046,151.200769,0.37," Ray White ","Sydney Church of England Grammar School ","Waverton","North"
"74",74,"20 Larkin Street Waverton NSW 2060",4,3,2,6150000,594,2019,3.68,-33.84165,151.1969,0.75," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"75",75,"12 Tunks Street Waverton NSW 2060",2,2,2,3165000,400,2019,4.22,-33.838474,151.20091,0.89," Belle Property Neutral Bay ","Sydney Church of England Grammar School ","Waverton","North"
"76",76,"77 Bay Road Waverton NSW 2060",4,2,NA,2920000,434,2019,4.11,-33.836829,151.196032,0.83," Belle Property Neutral Bay ","Sydney Church of England Grammar School ","Waverton","North"
"77",77,"23 Ancrum Street Waverton NSW 2060",2,2,NA,1350000,170,2018,3.8,-33.837737,151.196325,0.32," Stone McMahons Point ","Sydney Church of England Grammar School ","Waverton","North"
"78",78,"2 Priory Road Waverton NSW 2060",3,2,NA,2800000,526,2018,4.2,-33.839804,151.201392,0.52," Sullivan Real Estate ","Sydney Church of England Grammar School ","Waverton","North"
"79",79,"8 Woolcott Street Waverton NSW 2060",3,2,2,4380000,697,2018,3.98,-33.833023,151.203805,0.77," Holmes St. Clair ","Sydney Church of England Grammar School ","Waverton","North"
"80",80,"45 Crows Nest Road Waverton NSW 2060",6,2,3,4000000,769,2017,4.43,-33.836403,151.201696,0.5," Raine & Horne ","St Mary's Catholic Primary School ","Waverton","North"
"81",81,"17 Crows Nest Road Waverton NSW 2060",2,1,1,2088000,322,2017,4.22,-33.836161,151.199466,0.67," Stone McMahons Point ","Sydney Church of England Grammar School ","Waverton","North"
"82",82,"29 Carr Street Waverton NSW 2060",4,1,1,2450000,189,2017,3.92,-33.838857,151.199803,0.49," Blunts Real Estate ","Sydney Church of England Grammar School ","Waverton","North"
"83",83,"3 Wood Street Waverton NSW 2060",3,2,2,3010000,299,2017,3.69,-33.83831,151.200962,0.75," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"84",84,"37 Bay Road Waverton NSW 2060",3,2,2,3100000,402,2017,4.17,-33.841534,151.19681,0.61," Belle Property Neutral Bay ","Sydney Church of England Grammar School ","Waverton","North"
"85",85,"2C Euroka Street Waverton NSW 2060",2,2,1,1990000,139,2017,3.76,-33.83664,151.19982,0.41," Holmes St. Clair ","Sydney Church of England Grammar School ","Waverton","North"
"86",86,"7 McKye Street Waverton NSW 2060",3,2,NA,2630000,305,2017,4.26,-33.837894,151.198915,0.9," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"87",87,"3 Carr Street Waverton NSW 2060",2,1,NA,1450000,204,2017,3.84,-33.840316,151.200361,0.4," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"88",88,"11 Priory Road Waverton NSW 2060",4,3,2,3200000,463,2016,4.13,-33.836376,151.19623,0.43," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"89",89,"52 Euroka Street Waverton NSW 2060",3,2,2,2170000,225,2016,3.93,-33.839523,151.2006,0.4," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"90",90,"4 Tunks Street Waverton NSW 2060",3,3,1,2085000,202,2016,4.19,-33.837177,151.19565,0.91," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"91",91,"59 Crows Nest Road Waverton NSW 2060",5,3,3,3650000,789,2015,4.45,-33.840789,151.196372,0.38," Sullivan Real Estate ","St Mary's Catholic Primary School ","Waverton","North"
"92",92,"52 Crows Nest Road Waverton NSW 2060",5,4,3,3750000,773,2015,4.52,-33.838079,151.200878,0.37," Sullivan Real Estate ","St Mary's Catholic Primary School ","Waverton","North"
"93",93,"40 Euroka Street Waverton NSW 2060",2,2,1,1675000,222,2015,3.89,-33.83372,151.2033,0.41," Belle Property Neutral Bay ","Sydney Church of England Grammar School ","Waverton","North"
"94",94,"51 Crows Nest Road Waverton NSW 2060",4,3,2,2710000,688,2015,4.44,-33.833572,151.20406,0.45," McGrath Lower North Shore ","St Mary's Catholic Primary School ","Waverton","North"
"95",95,"47 Balls Head Road Waverton NSW 2060",4,3,1,2855000,660,2014,3.9,-33.838547,151.20004,0.8," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"96",96,"9 Balls Head Road Waverton NSW 2060",4,4,2,5800000,714,2014,3.59,-33.83387,151.20255,0.85," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"97",97,"55 Carr Street Waverton NSW 2060",4,1,NA,1575000,379,2014,4.2,-33.838474,151.19978,0.67," Richardson & Wrench ","Sydney Church of England Grammar School ","Waverton","North"
"98",98,"3B Crows Nest Road Waverton NSW 2060",3,2,2,1323000,206,2014,4.16,-33.836136,151.20197,0.67," Ray White ","Sydney Church of England Grammar School ","Waverton","North"
"99",99,"99 Bay Road Waverton NSW 2060",2,1,NA,1411000,250,2014,4.05,-33.83868,151.19522,0.88," McGrath ","Sydney Church of England Grammar School ","Waverton","North"
"100",100,"52 Euroka Street Waverton NSW 2060",3,2,2,1630500,248,2014,3.93,-33.833504,151.20445,0.4," Belle Property Neutral Bay ","Sydney Church of England Grammar School ","Waverton","North"
"101",101,"147 Artarmon Road Artarmon NSW 2064",3,1,1,2715000,696,2023,7.72,-33.8066672,151.1847162,1.1," McGrath ","Chatswood Public School ","Artarmon","North"
"102",102,"5 Muttama Road Artarmon NSW 2064",5,1,2,4150000,968,2023,7.78,-33.8049241,151.1843203,1.05," McGrath ","Chatswood Public School ","Artarmon","North"
"103",103,"77 Stafford Road Artarmon NSW 2064",4,2,2,3210000,979,2023,8.18,-33.8100632,151.1940771,0.91," LJ Hooker ","Our Lady of Dolours Catholic Primary School ","Artarmon","North"
"104",104,"87 Artarmon Road Artarmon NSW 2064",5,2,3,4325000,955,2022,7.5,-33.8076664,151.1916502,0.9," LJ Hooker ","Willoughby Girls High School ","Artarmon","North"
"105",105,"9 Cameron Avenue Artarmon NSW 2064",3,2,1,3050000,607,2022,7.51,-33.8075705,151.1914686,1.37," McGrath ","Chatswood Public School ","Artarmon","North"
"106",106,"38 Tindale Road Artarmon NSW 2064",5,2,2,4888000,860,2022,7.91,-33.8047156,151.1857104,0.99," McGrath ","Chatswood Public School ","Artarmon","North"
"107",107,"14 Cameron Avenue Artarmon NSW 2064",4,3,1,3600000,626,2022,7.47,-33.8087217,151.1930502,NA," LJ Hooker ",NA,"Artarmon","North"
"108",108,"40 Stafford Road Artarmon NSW 2064",4,3,2,3700000,816,2022,8.03,-33.808527,151.1870438,1.08," LJ Hooker ","Our Lady of Dolours Catholic Primary School ","Artarmon","North"
"109",109,"74 Artarmon Road Artarmon NSW 2064",3,1,2,2640000,695,2022,7.37,-33.8030133,151.1890228,0.86," Bourne 2 Sell ","Willoughby Girls High School ","Artarmon","North"
"110",110,"2 Cameron Avenue Artarmon NSW 2064",4,3,2,3950000,626,2022,7.43,-33.8083896,151.192753,NA," LJ Hooker ",NA,"Artarmon","North"
"111",111,"278 Mowbray Road Artarmon NSW 2064",3,2,1,2002500,737,2022,8.19,-33.8125047,151.1897475,0.91," Forsyth ","Our Lady of Dolours Catholic Primary School ","Artarmon","North"
"112",112,"63 Elizabeth Street Artarmon NSW 2064",3,1,1,2836000,695,2022,8.01,-33.8086644,151.1880147,0.81," Laing + Simmons ","Chatswood Public School ","Artarmon","North"
"113",113,"1 Harden Road Artarmon NSW 2064",4,2,2,4300000,696,2022,7.39,-33.801783,151.1877015,NA," LJ Hooker ",NA,"Artarmon","North"
"114",114,"108 Artarmon Road Artarmon NSW 2064",5,2,4,3800000,645,2022,7.53,-33.8107628,151.1782042,1.39," Stone McMahons Point ","Chatswood Public School ","Artarmon","North"
"115",115,"17 Burra Road Artarmon NSW 2064",5,3,2,4790000,696,2022,7.34,-33.807753,151.1882054,1.13," LJ Hooker ","Willoughby Girls High School ","Artarmon","North"
"116",116,"5 Burra Road Artarmon NSW 2064",3,2,2,3650000,696,2022,7.3,-33.8092082,151.1896322,1.06," LJ Hooker ","Willoughby Girls High School ","Artarmon","North"
"117",117,"6 Pyrl Road Artarmon NSW 2064",5,3,2,5600000,822,2022,7.4,-33.8093758,151.1908147,1.1," LJ Hooker ","Willoughby Girls High School ","Artarmon","North"
"118",118,"27 Godfrey Road Artarmon NSW 2064",3,1,2,3750000,752,2022,7.65,-33.8086358,151.189583,0.75," Bourne 2 Sell ","Willoughby Girls High School ","Artarmon","North"
"119",119,"26 Muttama Road Artarmon NSW 2064",3,1,2,3000000,449,2022,8.04,-33.8059888,151.1920488,0.85," Forsyth ","Chatswood Public School ","Artarmon","North"
"120",120,"19 Carlos Road Artarmon NSW 2064",4,2,2,3900000,696,2022,7.78,-33.8022081,151.1910019,1.17," LJ Hooker ","Chatswood Public School ","Artarmon","North"
"121",121,"1 Elizabeth Street Artarmon NSW 2064",3,2,2,3170000,651,2022,7.46,-33.8037098,151.1847248,NA," LJ Hooker ",NA,"Artarmon","North"
"122",122,"17 Cooney Road Artarmon NSW 2064",5,3,2,3800000,866,2022,7.38,-33.8028809,151.188091,0.94," LJ Hooker ","Willoughby Girls High School ","Artarmon","North"
"123",123,"33 Shepherd Road Artarmon NSW 2064",4,2,2,5100000,696,2022,7.87,-33.8038485,151.1877725,NA," McGrath ",NA,"Artarmon","North"
"124",124,"77 Stafford Road Artarmon NSW 2064",4,2,2,3100000,979,2021,8.18,-33.8044584,151.1891533,0.91," LJ Hooker ","Our Lady of Dolours Catholic Primary School ","Artarmon","North"
"125",125,"4 Stewart Street Artarmon NSW 2064",3,2,1,2800000,562,2021,7.98,-33.8020637,151.1866075,0.91," Shead Property ","Willoughby Girls High School ","Artarmon","North"
"126",126,"36 Smith Road Artarmon NSW 2064",5,2,2,5675000,923,2021,7.81,-33.803405,151.1893799,0.93," LJ Hooker ","Willoughby Girls High School ","Artarmon","North"
"127",127,"1a Stafford Road Artarmon NSW 2064",3,2,2,3600000,696,2021,7.97,-33.8049262,151.1893919,0.58," LJ Hooker ","Willoughby Girls High School ","Artarmon","North"
"128",128,"67 Tindale Road Artarmon NSW 2064",5,2,2,3900000,607,2021,8.1,-33.8112054,151.1778999,0.99," LJ Hooker ","Our Lady of Dolours Catholic Primary School ","Artarmon","North"
"129",129,"2a Godfrey Road Artarmon NSW 2064",2,1,NA,2814000,417,2021,7.72,-33.8087933,151.1924586,0.85," LJ Hooker ","Willoughby Girls High School ","Artarmon","North"
"130",130,"20 Cameron Avenue Artarmon NSW 2064",4,2,3,5300000,626,2021,7.49,-33.809497,151.1916754,NA," McGrath ",NA,"Artarmon","North"
"131",131,"128 Artarmon Road Artarmon NSW 2064",4,5,2,5000000,645,2021,7.59,-33.807527,151.1865854,1.28," LJ Hooker ","Chatswood Public School ","Artarmon","North"
"132",132,"21 Smith Road Artarmon NSW 2064",4,2,2,5500000,696,2021,7.77,-33.8051354,151.1900746,0.88," LJ Hooker ","Willoughby Girls High School ","Artarmon","North"
"133",133,"54 Tindale Road Artarmon NSW 2064",6,3,1,5150000,765,2021,8.04,-33.8038177,151.1830162,0.92," LJ Hooker ","Chatswood Public School ","Artarmon","North"
"134",134,"15 Muttama Road Artarmon NSW 2064",5,3,1,4200000,955,2021,7.85,-33.8034535,151.1859945,1," LJ Hooker ","Chatswood Public School ","Artarmon","North"
"135",135,"318 Mowbray Road Artarmon NSW 2064",4,5,2,3015000,847,2021,8.12,-33.8025354,151.1860453,0.73," Cale Property Agents ","Chatswood Public School ","Artarmon","North"
"136",136,"30 Kitchener Road Artarmon NSW 2064",4,2,2,3150000,638,2021,7.49,-33.805431,151.1848855,1.24," mcconnellbourn ","St Michael's Catholic Primary School ","Artarmon","North"
"137",137,"107 Artarmon Road Artarmon NSW 2064",5,3,3,3910000,697,2021,7.54,-33.8032031,151.1835687,1.02," McGrath ","Willoughby Girls High School ","Artarmon","North"
"138",138,"9 Godfrey Road Artarmon NSW 2064",5,3,1,3525000,727,2021,7.65,-33.810596,151.1782686,0.86," Forsyth ","Willoughby Girls High School ","Artarmon","North"
"139",139,"38 Stafford Road Artarmon NSW 2064",4,2,2,3200000,689,2021,8.02,-33.8073538,151.1896321,0.91," RUN Property ","Willoughby Girls High School ","Artarmon","North"
"140",140,"81 Hampden Road Artarmon NSW 2064",3,1,NA,2160000,354,2021,7.75,-33.8061768,151.1908451,1.03," LJ Hooker ","Chatswood Public School ","Artarmon","North"
"141",141,"15 Smith Road Artarmon NSW 2064",5,5,2,5360000,835,2021,7.71,-33.8057539,151.1899486,0.91," McGrath ","Willoughby Girls High School ","Artarmon","North"
"142",142,"13 Palmer Street Artarmon NSW 2064",3,1,1,2000000,316,2021,7.82,-33.806843,151.1803271,0.96," Shead Property ","Chatswood Public School ","Artarmon","North"
"143",143,"35 Godfrey Road Artarmon NSW 2064",3,1,2,2922000,847,2021,7.71,-33.8054215,151.1922576,0.7," mcconnellbourn ","Willoughby Girls High School ","Artarmon","North"
"144",144,"14 Onyx Road Artarmon NSW 2064",4,2,2,3900000,696,2021,7.55,-33.8115152,151.1779233,0.91," McGrath ","Willoughby Girls High School ","Artarmon","North"
"145",145,"18 Muttama Road Artarmon NSW 2064",4,2,1,3900000,816,2021,7.94,-33.8071049,151.1908425,0.91," LJ Hooker ","Chatswood Public School ","Artarmon","North"
"146",146,"53 Burra Road Artarmon NSW 2064",5,3,2,3550000,601,2020,7.45,-33.8047771,151.1842985,NA," LJ Hooker ",NA,"Artarmon","North"
"147",147,"7 Onyx Road Artarmon NSW 2064",3,1,1,3230000,864,2020,7.57,-33.8073757,151.1897906,0.77," Laing + Simmons ","Willoughby Girls High School ","Artarmon","North"
"148",148,"14 Godfrey Road Artarmon NSW 2064",3,2,1,2550000,702,2020,7.7,-33.8088088,151.1864712,0.78," LJ Hooker ","Willoughby Girls High School ","Artarmon","North"
"149",149,"6 Sydney Street Artarmon NSW 2064",4,2,2,2950000,650,2020,7.46,-33.806658,151.1923283,0.82," Raine & Horne ","Willoughby Girls High School ","Artarmon","North"
"150",150,"242 Mowbray Road Artarmon NSW 2064",4,1,4,2100000,1031,2020,8.1,-33.8056107,151.1914927,0.82," Richardson & Wrench ","Willoughby Girls High School ","Artarmon","North"
"151",151,"15 Donnelly Street Putney NSW 2112",4,2,2,3760000,525,2023,10.25,-33.8215512,151.099535,0.22," McGrath ","Putney Public School ","Putney","North"
"152",152,"9 Regent Street Putney NSW 2112",5,4,5,4635000,683,2023,11.3,-33.8263082,151.111652,0.85," McGrath ","Putney Public School ","Putney","North"
